id,home_team_id,away_team_id,home_team_score,away_team_score,date
0021600221,1610612762,1610612743,108,83,20161123
0021600222,1610612740,1610612750,117,96,20161123
0021600223,1610612744,1610612747,149,106,20161123
0021600224,1610612758,1610612760,116,101,20161123
0021600225,1610612738,1610612759,103,109,20161125
0021600226,1610612753,1610612764,91,94,20161125
0021600227,1610612739,1610612742,128,90,20161125
0021600228,1610612752,1610612766,113,111,20161125
0021600229,1610612755,1610612741,89,105,20161125
0021600230,1610612765,1610612746,108,97,20161125
0021600231,1610612762,1610612737,95,68,20161125
0021600232,1610612749,1610612761,99,105,20161125
0021600233,1610612763,1610612748,81,90,20161125
0021600234,1610612754,1610612751,118,97,20161125
0021600235,1610612743,1610612760,129,132,20161125
0021600236,1610612756,1610612750,85,98,20161125
0021600237,1610612757,1610612740,119,104,20161125
0021600238,1610612747,1610612744,85,109,20161125
0021600239,1610612758,1610612745,104,117,20161125
0021600240,1610612764,1610612759,100,112,20161126
0021600241,1610612766,1610612752,107,102,20161126
0021600242,1610612760,1610612765,106,88,20161126
0021600243,1610612748,1610612763,107,110,20161126
0021600244,1610612744,1610612750,115,102,20161126
0021600245,1610612755,1610612739,108,112,20161127
0021600246,1610612756,1610612743,114,120,20161127
0021600247,1610612751,1610612758,105,122,20161127
0021600248,1610612753,1610612749,96,104,20161127
0021600249,1610612754,1610612746,91,70,20161127
0021600250,1610612742,1610612740,91,81,20161127
0021600251,1610612757,1610612745,114,130,20161127
0021600252,1610612747,1610612737,109,94,20161127
0021600253,1610612764,1610612758,101,95,20161128
0021600254,1610612761,1610612755,122,95,20161128
0021600255,1610612752,1610612760,103,112,20161128
0021600256,1610612748,1610612738,104,112,20161128
0021600257,1610612763,1610612766,85,104,20161128
0021600258,1610612750,1610612762,103,112,20161128
0021600259,1610612744,1610612737,105,100,20161128
0021600260,1610612766,1610612765,89,112,20161129
0021600261,1610612751,1610612746,127,122,20161129
0021600262,1610612749,1610612739,118,101,20161129
0021600263,1610612740,1610612747,105,88,20161129
0021600264,1610612759,1610612753,83,95,20161129
0021600265,1610612762,1610612745,120,101,20161129
0021600267,1610612738,1610612765,114,121,20161130
0021600268,1610612761,1610612763,120,105,20161130
0021600269,1610612741,1610612747,90,96,20161130
0021600270,1610612760,1610612764,126,115,20161130
0021600271,1610612750,1610612752,104,106,20161130
0021600272,1610612742,1610612759,87,94,20161130
0021600273,1610612743,1610612748,98,106,20161130
0021600274,1610612756,1610612737,109,107,20161130
0021600275,1610612757,1610612754,131,109,20161130
0021600276,1610612766,1610612742,97,87,20161201
0021600277,1610612751,1610612749,93,111,20161201
0021600278,1610612763,1610612753,95,94,20161201
0021600279,1610612739,1610612746,94,113,20161201
0021600280,1610612762,1610612748,110,111,20161201
0021600281,1610612744,1610612745,127,132,20161201
0021600282,1610612755,1610612753,88,105,20161202
0021600283,1610612738,1610612758,97,92,20161202
0021600284,1610612761,1610612747,113,80,20161202
0021600285,1610612752,1610612750,118,114,20161202
0021600286,1610612741,1610612739,111,105,20161202
0021600287,1610612740,1610612746,96,114,20161202
0021600288,1610612737,1610612765,85,121,20161202
0021600289,1610612759,1610612764,107,105,20161202
0021600290,1610612743,1610612745,110,128,20161202
0021600291,1610612749,1610612751,112,103,20161203
0021600292,1610612766,1610612750,120,125,20161203
0021600293,1610612761,1610612737,128,84,20161203
0021600294,1610612755,1610612738,106,107,20161203
0021600295,1610612763,1610612747,103,100,20161203
0021600296,1610612742,1610612741,107,82,20161203
0021600297,1610612762,1610612743,105,98,20161203
0021600298,1610612757,1610612748,99,92,20161203
0021600299,1610612744,1610612756,138,109,20161203
0021600300,1610612765,1610612753,92,98,20161204
0021600301,1610612760,1610612740,101,92,20161204
0021600302,1610612752,1610612758,106,98,20161204
0021600303,1610612746,1610612754,102,111,20161204
0021600304,1610612755,1610612743,98,106,20161205
0021600305,1610612761,1610612739,112,116,20161205
0021600306,1610612751,1610612764,113,118,20161205
0021600307,1610612737,1610612760,99,102,20161205
0021600308,1610612741,1610612757,110,112,20161205
0021600309,1610612749,1610612759,96,97,20161205
0021600310,1610612740,1610612763,108,110,20161205
0021600311,1610612745,1610612738,107,106,20161205
0021600312,1610612742,1610612766,101,109,20161205
0021600313,1610612747,1610612762,101,107,20161205
0021600314,1610612744,1610612754,142,106,20161205
0021600315,1610612764,1610612753,116,124,20161206
0021600316,1610612748,1610612752,103,114,20161206
0021600317,1610612765,1610612741,102,91,20161206
0021600318,1610612763,1610612755,96,91,20161206
0021600319,1610612750,1610612759,91,105,20161206
0021600320,1610612762,1610612756,112,105,20161206
0021600321,1610612766,1610612765,87,77,20161207
0021600322,1610612753,1610612738,87,117,20161207
0021600323,1610612751,1610612743,116,111,20161207
0021600324,1610612737,1610612748,103,95,20161207
0021600325,1610612749,1610612757,115,107,20161207
0021600326,1610612745,1610612747,134,95,20161207
0021600327,1610612752,1610612739,94,126,20161207
0021600328,1610612742,1610612758,89,120,20161207
0021600329,1610612756,1610612754,94,109,20161207
0021600330,1610612746,1610612744,98,115,20161207
0021600331,1610612761,1610612750,124,110,20161208
0021600332,1610612764,1610612743,92,85,20161208
0021600333,1610612763,1610612757,88,86,20161208
0021600334,1610612740,1610612755,88,99,20161208
0021600335,1610612762,1610612744,99,106,20161208
0021600336,1610612741,1610612759,95,91,20161208
0021600337,1610612766,1610612753,109,88,20161209
0021600338,1610612739,1610612748,114,84,20161209
0021600339,1610612738,1610612761,94,101,20161209
0021600340,1610612749,1610612737,110,114,20161209
0021600341,1610612760,1610612745,99,102,20161209
0021600342,1610612750,1610612765,90,117,20161209
0021600343,1610612742,1610612754,111,103,20161209
0021600344,1610612747,1610612756,115,119,20161209
0021600345,1610612758,1610612752,100,103,20161209
0021600346,1610612764,1610612749,110,105,20161210
0021600347,1610612753,1610612743,113,121,20161210
0021600348,1610612754,1610612757,118,111,20161210
0021600349,1610612739,1610612766,116,105,20161210
0021600350,1610612741,1610612748,105,100,20161210
0021600351,1610612763,1610612744,110,89,20161210
0021600352,1610612745,1610612742,109,87,20161210
0021600353,1610612759,1610612751,130,101,20161210
0021600354,1610612762,1610612758,104,84,20161210
0021600355,1610612746,1610612740,133,105,20161210
0021600356,1610612765,1610612755,79,97,20161211
0021600357,1610612760,1610612738,99,96,20161211
0021600358,1610612750,1610612744,108,116,20161211
0021600359,1610612756,1610612740,119,120,20161211
0021600360,1610612747,1610612752,112,118,20161211
0021600361,1610612754,1610612766,110,94,20161212
0021600362,1610612761,1610612749,122,100,20161212
0021600363,1610612748,1610612764,112,101,20161212
0021600364,1610612745,1610612751,122,118,20161212
0021600365,1610612742,1610612743,112,92,20161212
0021600366,1610612746,1610612757,121,120,20161212
0021600367,1610612758,1610612747,116,92,20161212
0021600368,1610612739,1610612763,103,86,20161213
0021600369,1610612737,1610612753,120,131,20161213
0021600370,1610612741,1610612750,94,99,20161213
0021600371,1610612740,1610612744,109,113,20161213
0021600372,1610612756,1610612752,113,111,20161213
0021600373,1610612757,1610612760,114,95,20161213
0021600374,1610612755,1610612761,114,123,20161214
0021600375,1610612764,1610612766,109,106,20161214
0021600376,1610612753,1610612746,108,113,20161214
0021600377,1610612748,1610612754,95,89,20161214
0021600378,1610612751,1610612747,107,97,20161214
0021600379,1610612763,1610612739,93,85,20161214
0021600380,1610612745,1610612758,132,98,20161214
0021600381,1610612742,1610612765,85,95,20161214
0021600382,1610612762,1610612760,109,89,20161214
