Draft,Year,Rnd,DT,OvPck,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
junsec,1972,2,6sc,27,4,Angels,N,,Sam Bowen,2B,0.0,16,22,1,.136,.513,,,,,,,4Yr,Coastal Georgia Community College (Brunswick, GA)
jansec,1973,1,1sc,4,4,Angels,N,,Jeffrey Feramisco,INF,,,,,,,,,,,,,JC,Fresno City College (Fresno, CA)
jansec,1973,2,1sc,28,4,Angels,Y,,Mike Overy,RHP,-0.3,0,0,0,,,5,0,2,6.14,1.23,0,4Yr,Olivet College (Olivet, MI)
jansec,1973,3,1sc,50,4,Angels,Y,,Malvin Washington,C,,,,,,,,,,,,,JC,Los Angeles Valley College (Los Angeles, CA)
jansec,1973,4,1sc,68,3,Angels,N,,Kevin Carney,C,,,,,,,,,,,,,,
jansec,1973,5,1sc,79,2,Angels,N,,Ron Ward,INF,,,,,,,,,,,,,JC,Contra Costa College (San Pablo, CA)
jansec,1973,6,1sc,87,2,Angels,N,,Kenny McKinney,3B,,,,,,,,,,,,,JC,Columbia State Community College (Columbia, TN)
jansec,1973,7,1sc,93,2,Angels,N,,Ken Nelson,OF,,,,,,,,,,,,,4Yr,Stanford University (Palo Alto, CA)
jansec,1973,8,1sc,97,1,Angels,N,,James Yaeger,P,,,,,,,,,,,,,JC,Connors State College (Warner, OK)
jansec,1973,9,1sc,100,1,Angels,Unk,,Mike Milligan,C,,,,,,,,,,,,,JC,Chipola College (Marianna, FL)
jansec,1973,10,1sc,101,1,Angels,N,,Ted Milton,OF,,,,,,,,,,,,,4Yr,Mississippi State University (Mississippi State, MS)
jansec,1973,11,1sc,102,1,Angels,N,,Tom Rezzuti,OF,,,,,,,,,,,,,4Yr,Northeastern University (Boston, MA)
janreg,1973,1,1rg,8,8,Angels,Y,,Randy Smith,P,,,,,,,,,,,,,JC,Three Rivers Community College (Poplar Bluff, MO)
janreg,1973,2,1rg,32,8,Angels,N,,Marvin Townsend,SS,,,,,,,,,,,,,JC,College of the Albemarle (Albemarle, NC)
janreg,1973,3,1rg,54,7,Angels,N,,Pat Perrino,3B,,,,,,,,,,,,,JC,Henry Ford Community College (Dearborn, MI)
janreg,1973,4,1rg,74,6,Angels,N,,Paul Zobeck,P,,,,,,,,,,,,,JC,Yavapai College (Prescott, AZ)
janreg,1973,5,1rg,91,5,Angels,N,,Larry Eubanks,OF,,,,,,,,,,,,,JC,Glendale Community College (Glendale, CA)
janreg,1973,6,1rg,106,5,Angels,Y,,Gary Beese,C,,,,,,,,,,,,,4Yr,Lewis University (Romeoville, IL)
janreg,1973,7,1rg,118,5,Angels,N,,Len Patterson,C,,,,,,,,,,,,,JC,Laney College (Oakland, CA)
janreg,1973,8,1rg,125,4,Angels,N,,Tim Hurley,3B,,,,,,,,,,,,,JC,Spokane Community College (Spokane, WA)
janreg,1973,9,1rg,132,4,Angels,N,,Arthur Bordley,P,,,,,,,,,,,,,JC,El Camino College (Torrance, CA)
janreg,1973,10,1rg,138,3,Angels,N,,Larry Hutton,OF,,,,,,,,,,,,,JC,Long Beach City College (Long Beach, CA)
janreg,1973,11,1rg,142,2,Angels,N,,Clark Maynard,1B,,,,,,,,,,,,,JC,Greenfield Community College (Greenfield, MA)
junsec,1973,1,6sc,17,17,Angels,N,,David Bedrosian,2B,,,,,,,,,,,,,JC,Fresno City College (Fresno, CA)
junsec,1973,2,6sc,25,7,Angels,N,,Kevin Morel,SS,,,,,,,,,,,,,JC,Indian River State College (Fort Pierce, FL)
junsec,1973,3,6sc,31,6,Angels,N,,Martin Fleming,RHP,,,,,,,,,,,,,JC,Cypress College (Cypress, CA)
junsec,1973,4,6sc,37,6,Angels,N,,Dennis Sherow,OF,,,,,,,,,,,,,,
jansec,1974,1,1sc,23,23,Angels,N,,David Bedrosian,2B,,,,,,,,,,,,,JC,Fresno City College (Fresno, CA)
jansec,1974,2,1sc,44,20,Angels,N,,Charles James,OF,,,,,,,,,,,,,JC,Los Angeles Valley College (Los Angeles, CA)
jansec,1974,3,1sc,60,16,Angels,N,,Stephen Barrett,2B,,,,,,,,,,,,,4Yr,Murray State University (Murray, KY)
jansec,1974,4,1sc,68,8,Angels,Y,,Danny Miller,INF,,,,,,,,,,,,,JC,Los Angeles Pierce College (Woodland Hills, CA)
jansec,1974,5,1sc,71,3,Angels,N,,Danny Boone,LHP,0.7,57,10,0,.300,.700,61,2,1,3.36,1.32,4,JC,Cerritos College (Norwalk, CA)
