player_id,game_id,team_id,fga,fgm,3pa,3pm,fta,ftm,points,off_rebounds,def_rebounds,assists,turnovers,blocks,steals,fouls
203960,0011600004,1610612743,,,,,,,,,,,,,,
1626253,0011600004,1610612743,,,,,,,,,,,,,,
203489,0011600004,1610612743,,,,,,,,,,,,,,
203998,0011600004,1610612761,1,0,0,0,0,0,0,0,1,0,0,1,0,3
202335,0011600004,1610612761,4,1,1,4,1,2,4,0,2,1,0,0,2,4
202685,0011600004,1610612761,12,6,0,0,8,8,20,5,4,0,0,1,0,4
201942,0011600004,1610612761,11,5,0,1,5,6,15,0,1,1,1,0,1,1
200768,0011600004,1610612761,8,3,1,4,0,0,7,0,1,1,2,0,1,2
203990,0011600004,1610612761,2,0,0,1,0,2,0,0,3,1,1,0,0,4
203512,0011600004,1610612761,4,2,0,0,0,0,4,0,3,0,1,1,2,4
203082,0011600004,1610612761,12,8,4,7,3,4,23,0,0,2,1,0,1,2
1627783,0011600004,1610612761,6,0,0,0,0,0,0,3,2,1,0,1,0,2
202709,0011600004,1610612761,9,4,0,1,0,0,8,1,2,4,1,0,1,1
1627751,0011600004,1610612761,6,4,0,0,2,3,10,4,2,0,1,0,1,2
1626181,0011600004,1610612761,10,3,1,3,0,0,7,0,7,0,2,1,0,0
1627832,0011600004,1610612761,4,3,0,0,2,2,8,0,0,3,1,0,0,1
203560,0011600004,1610612761,1,0,0,1,0,0,0,1,1,1,0,0,1,1
204029,0011600004,1610612761,,,,,,,,,,,,,,
1626213,0011600004,1610612761,,,,,,,,,,,,,,
1627784,0011600004,1610612761,,,,,,,,,,,,,,
202695,0011600007,1610612759,10,6,3,5,2,2,17,2,2,2,2,0,2,1
101135,0011600007,1610612759,4,1,0,0,0,0,2,1,5,1,3,0,1,2
203473,0011600007,1610612759,5,1,0,0,0,0,2,0,2,0,4,0,0,6
203613,0011600007,1610612759,7,3,0,1,4,5,10,2,1,0,4,0,0,3
1627879,0011600007,1610612759,6,2,2,4,0,0,6,0,2,4,1,0,1,1
1627749,0011600007,1610612759,8,3,1,1,2,5,9,0,2,1,2,0,0,0
201202,0011600007,1610612759,7,4,0,0,0,0,8,1,2,0,3,4,1,1
202722,0011600007,1610612759,6,2,1,5,0,0,5,1,1,1,4,2,1,5
203937,0011600007,1610612759,5,3,0,1,2,2,8,0,4,2,2,1,3,0
1627854,0011600007,1610612759,12,3,2,5,1,2,9,0,7,2,1,0,4,5
203520,0011600007,1610612759,2,2,0,0,0,0,4,4,0,1,1,0,1,5
1627868,0011600007,1610612759,5,1,1,2,0,0,3,0,0,1,1,0,1,2
1627853,0011600007,1610612759,3,1,1,1,0,0,3,0,2,2,2,1,0,3
200746,0011600007,1610612759,,,,,,,,,,,,,,
2200,0011600007,1610612759,,,,,,,,,,,,,,
1938,0011600007,1610612759,,,,,,,,,,,,,,
201980,0011600007,1610612759,,,,,,,,,,,,,,
201988,0011600007,1610612759,,,,,,,,,,,,,,
2225,0011600007,1610612759,,,,,,,,,,,,,,
203933,0011600007,1610612756,9,4,0,2,0,0,8,2,0,1,1,0,0,1
201162,0011600007,1610612756,4,2,1,3,1,2,6,0,2,1,2,2,3,1
2199,0011600007,1610612756,4,3,0,0,4,4,10,2,6,0,3,1,0,1
1626164,0011600007,1610612756,13,5,1,2,8,8,19,1,2,1,2,0,0,1
202339,0011600007,1610612756,6,1,0,1,1,1,3,2,2,4,1,0,3,2
202688,0011600007,1610612756,7,3,0,0,2,3,8,0,2,2,4,0,1,4
203458,0011600007,1610612756,4,1,0,0,3,6,5,1,3,1,0,2,0,3
1627737,0011600007,1610612756,7,3,0,0,4,4,10,2,2,0,6,1,2,1
1627733,0011600007,1610612756,4,0,0,1,0,0,0,1,3,1,2,1,0,4
2571,0011600007,1610612756,2,1,0,1,2,2,4,0,2,2,0,0,0,0
1627755,0011600007,1610612756,3,0,0,0,0,0,0,0,5,3,5,0,2,1
1626210,0011600007,1610612756,4,2,0,0,4,4,8,2,5,0,2,3,0,1
203462,0011600007,1610612756,7,3,1,1,3,4,10,0,1,0,0,0,2,1
1627836,0011600007,1610612756,,,,,,,,,,,,,,
1627496,0011600007,1610612756,,,,,,,,,,,,,,
1627885,0011600007,1610612756,,,,,,,,,,,,,,
203098,0011600007,1610612756,,,,,,,,,,,,,,
1627884,0011600007,1610612756,,,,,,,,,,,,,,
200782,0011600007,1610612756,,,,,,,,,,,,,,
202330,0011600008,1610612762,9,4,2,3,7,8,17,0,3,0,2,0,1,0
202324,0011600008,1610612762,9,5,0,0,4,6,14,2,7,1,1,2,1,3
